company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
ABB,Dec 2012,+,-,-,REINVESTOR
ABB,Mar 2014,+,-,-,REINVESTOR
ABB,Mar 2014,+,+,+,CASH_ACCUMULATION
ABB,Mar 2015,+,-,-,REINVESTOR
ABB,Mar 2015,-,-,+,DISTRESS
ABB,Mar 2016,+,-,-,REINVESTOR
ABB,Mar 2016,+,-,-,REINVESTOR
ABB,Mar 2017,+,-,-,REINVESTOR
ABB,Mar 2017,+,-,-,REINVESTOR
ABB,Mar 2018,+,-,-,REINVESTOR
ABB,Mar 2018,+,-,+,GROWTH_FINANCING
ABB,Mar 2019,+,-,-,REINVESTOR
ABB,Mar 2019,+,-,+,GROWTH_FINANCING
ABB,Mar 2020,+,-,-,REINVESTOR
ABB,Mar 2020,+,-,+,GROWTH_FINANCING
ABB,Mar 2021,+,-,-,REINVESTOR
ABB,Mar 2021,+,-,-,REINVESTOR
ABB,Mar 2022,+,-,-,REINVESTOR
ABB,Mar 2022,+,-,-,REINVESTOR
ABB,Mar 2023,+,-,-,REINVESTOR
ABB,Mar 2023,+,-,+,GROWTH_FINANCING
ABB,Mar 2024,+,-,-,REINVESTOR
ABB,Mar 2024,+,-,-,REINVESTOR
ADANIENSOL,Mar 2014,+,+,+,CASH_ACCUMULATION
ADANIENSOL,Mar 2015,-,-,+,DISTRESS
ADANIENSOL,Mar 2016,+,-,-,REINVESTOR
ADANIENSOL,Mar 2017,+,-,-,REINVESTOR
ADANIENSOL,Mar 2018,+,-,+,GROWTH_FINANCING
ADANIENSOL,Mar 2019,+,-,+,GROWTH_FINANCING
ADANIENSOL,Mar 2020,+,-,+,GROWTH_FINANCING
ADANIENSOL,Mar 2021,+,-,-,REINVESTOR
ADANIENSOL,Mar 2022,+,-,-,REINVESTOR
ADANIENSOL,Mar 2023,+,-,+,GROWTH_FINANCING
ADANIENSOL,Mar 2024,+,-,-,REINVESTOR
ADANIENT,Mar 2013,+,-,+,GROWTH_FINANCING
ADANIENT,Mar 2014,+,-,-,REINVESTOR
ADANIENT,Mar 2015,+,-,+,GROWTH_FINANCING
ADANIENT,Mar 2016,+,-,-,REINVESTOR
ADANIENT,Mar 2017,+,-,+,GROWTH_FINANCING
ADANIENT,Mar 2018,+,-,+,GROWTH_FINANCING
ADANIENT,Mar 2019,+,+,-,SHAREHOLDER_RETURNS
ADANIENT,Mar 2020,+,-,-,REINVESTOR
ADANIENT,Mar 2021,+,-,+,GROWTH_FINANCING
ADANIENT,Mar 2022,+,-,+,GROWTH_FINANCING
ADANIENT,Mar 2023,+,-,-,REINVESTOR
ADANIENT,Mar 2024,+,-,+,GROWTH_FINANCING
ADANIGREEN,Mar 2017,+,-,+,GROWTH_FINANCING
ADANIGREEN,Mar 2018,+,-,+,GROWTH_FINANCING
ADANIGREEN,Mar 2019,+,-,+,GROWTH_FINANCING
ADANIGREEN,Mar 2020,+,-,+,GROWTH_FINANCING
ADANIGREEN,Mar 2021,+,-,+,GROWTH_FINANCING
ADANIGREEN,Mar 2022,+,-,+,GROWTH_FINANCING
ADANIGREEN,Mar 2023,+,-,-,REINVESTOR
ADANIGREEN,Mar 2024,+,-,+,GROWTH_FINANCING
ADANIPORTS,Mar 2013,+,-,+,GROWTH_FINANCING
ADANIPORTS,Mar 2014,+,-,+,GROWTH_FINANCING
ADANIPORTS,Mar 2015,+,-,-,REINVESTOR
ADANIPORTS,Mar 2016,+,-,+,GROWTH_FINANCING
ADANIPORTS,Mar 2017,+,-,-,REINVESTOR
