company_id,cluster_id,cluster_name,distance_from_centroid
ABB,0,High-Quality Compounders,0.6534
ADANIENSOL,0,High-Quality Compounders,1.38
ADANIENT,0,High-Quality Compounders,1.3515
ADANIGREEN,2,Value Cyclicals,2.36
ADANIPORTS,4,Emerging Growth,1.285
ADANIPOWER,0,High-Quality Compounders,1.1703
AMBUJACEM,0,High-Quality Compounders,0.5237
APOLLOHOSP,0,High-Quality Compounders,0.6431
ASIANPAINT,0,High-Quality Compounders,0.3158
AXISBANK,2,Value Cyclicals,1.0084
BAJAJ-AUTO,0,High-Quality Compounders,0.217
BAJAJFINSV,2,Value Cyclicals,0.8507
BAJAJHLDNG,4,Emerging Growth,2.4923
BAJFINANCE,2,Value Cyclicals,1.3582
BANKBARODA,2,Value Cyclicals,1.8601
BEL,1,Defensive Dividend Payers,0.7529
BHARTIARTL,4,Emerging Growth,1.2567
BHEL,0,High-Quality Compounders,2.2333
BOSCHLTD,0,High-Quality Compounders,0.8741
BPCL,0,High-Quality Compounders,0.4918
BRITANNIA,0,High-Quality Compounders,1.6239
CANBK,2,Value Cyclicals,2.7583
CHOLAFIN,2,Value Cyclicals,0.6528
CIPLA,3,Distressed or Turnaround,0.0
COALINDIA,4,Emerging Growth,1.1258
DABUR,0,High-Quality Compounders,0.7987
DIVISLAB,0,High-Quality Compounders,0.7548
DLF,0,High-Quality Compounders,2.3127
DMART,0,High-Quality Compounders,1.4299
DRREDDY,0,High-Quality Compounders,1.2303
EICHERMOT,0,High-Quality Compounders,0.4629
GAIL,0,High-Quality Compounders,0.429
GODREJCP,0,High-Quality Compounders,0.5743
GRASIM,0,High-Quality Compounders,0.6323
HAL,1,Defensive Dividend Payers,0.7529
HAVELLS,0,High-Quality Compounders,0.9435
HCLTECH,0,High-Quality Compounders,0.5406
HDFCBANK,2,Value Cyclicals,0.6323
HDFCLIFE,4,Emerging Growth,1.3643
HEROMOTOCO,4,Emerging Growth,1.6477
HINDALCO,4,Emerging Growth,0.5599
HINDUNILVR,4,Emerging Growth,0.7436
ICICIBANK,2,Value Cyclicals,0.843
ICICIGI,4,Emerging Growth,0.8025
ICICIPRULI,4,Emerging Growth,2.2729
INDIGO,4,Emerging Growth,2.4975
INDUSINDBK,2,Value Cyclicals,0.7729
INFY,0,High-Quality Compounders,0.4266
IOC,0,High-Quality Compounders,0.5332
IRCTC,0,High-Quality Compounders,1.418
IRFC,2,Value Cyclicals,2.0828
ITC,0,High-Quality Compounders,0.8347
JINDALSTEL,0,High-Quality Compounders,1.2431
JIOFIN,4,Emerging Growth,0.8746
JSWENERGY,0,High-Quality Compounders,1.306
JSWSTEEL,0,High-Quality Compounders,0.7211
KOTAKBANK,4,Emerging Growth,1.1934
LICI,0,High-Quality Compounders,2.0551
LODHA,0,High-Quality Compounders,1.9787
LT,0,High-Quality Compounders,0.6239
LTIM,0,High-Quality Compounders,2.7061
M&M,0,High-Quality Compounders,0.745
MARUTI,0,High-Quality Compounders,0.3418
MOTHERSON,0,High-Quality Compounders,0.5868
NAUKRI,0,High-Quality Compounders,0.9562
NESTLEIND,0,High-Quality Compounders,0.6276
NHPC,0,High-Quality Compounders,1.8993
NTPC,0,High-Quality Compounders,0.4973
ONGC,0,High-Quality Compounders,0.5013
PFC,2,Value Cyclicals,1.4561
PIDILITIND,0,High-Quality Compounders,0.5183
PNB,0,High-Quality Compounders,1.6493
POWERGRID,4,Emerging Growth,1.7493
RECLTD,4,Emerging Growth,2.0775
RELIANCE,0,High-Quality Compounders,0.1799
SBILIFE,0,High-Quality Compounders,2.0738
SHREECEM,0,High-Quality Compounders,0.2189
SHRIRAMFIN,2,Value Cyclicals,1.2687
SUNPHARMA,0,High-Quality Compounders,1.1382
TATACONSUM,0,High-Quality Compounders,1.733
TATAMOTORS,0,High-Quality Compounders,0.5206
TATAPOWER,0,High-Quality Compounders,0.8924
TATASTEEL,0,High-Quality Compounders,0.5618
TCS,0,High-Quality Compounders,0.3405
TECHM,0,High-Quality Compounders,0.7522
TITAN,0,High-Quality Compounders,1.5974
TORNTPHARM,0,High-Quality Compounders,0.6596
TRENT,2,Value Cyclicals,3.321
TVSMOTOR,0,High-Quality Compounders,1.2536
SIEMENS,0,High-Quality Compounders,1.4634
ATGL,-1,No Data,
SBIN,-1,No Data,
