company_id,year,previous_pattern,new_pattern
ABB,2014,REINVESTOR,CASH_ACCUMULATION
ABB,2015,CASH_ACCUMULATION,REINVESTOR
ABB,2015,REINVESTOR,DISTRESS
ABB,2016,DISTRESS,REINVESTOR
ABB,2018,REINVESTOR,GROWTH_FINANCING
ABB,2019,GROWTH_FINANCING,REINVESTOR
ABB,2019,REINVESTOR,GROWTH_FINANCING
ABB,2020,GROWTH_FINANCING,REINVESTOR
ABB,2020,REINVESTOR,GROWTH_FINANCING
ABB,2021,GROWTH_FINANCING,REINVESTOR
ABB,2023,REINVESTOR,GROWTH_FINANCING
ABB,2024,GROWTH_FINANCING,REINVESTOR
ADANIENSOL,2015,CASH_ACCUMULATION,DISTRESS
ADANIENSOL,2016,DISTRESS,REINVESTOR
ADANIENSOL,2018,REINVESTOR,GROWTH_FINANCING
ADANIENSOL,2021,GROWTH_FINANCING,REINVESTOR
ADANIENSOL,2023,REINVESTOR,GROWTH_FINANCING
ADANIENSOL,2024,GROWTH_FINANCING,REINVESTOR
ADANIENT,2014,GROWTH_FINANCING,REINVESTOR
ADANIENT,2015,REINVESTOR,GROWTH_FINANCING
ADANIENT,2016,GROWTH_FINANCING,REINVESTOR
ADANIENT,2017,REINVESTOR,GROWTH_FINANCING
ADANIENT,2019,GROWTH_FINANCING,SHAREHOLDER_RETURNS
ADANIENT,2020,SHAREHOLDER_RETURNS,REINVESTOR
ADANIENT,2021,REINVESTOR,GROWTH_FINANCING
ADANIENT,2023,GROWTH_FINANCING,REINVESTOR
ADANIENT,2024,REINVESTOR,GROWTH_FINANCING
ADANIGREEN,2023,GROWTH_FINANCING,REINVESTOR
ADANIGREEN,2024,REINVESTOR,GROWTH_FINANCING
ADANIPORTS,2015,GROWTH_FINANCING,REINVESTOR
ADANIPORTS,2016,REINVESTOR,GROWTH_FINANCING
ADANIPORTS,2017,GROWTH_FINANCING,REINVESTOR
ADANIPORTS,2019,REINVESTOR,GROWTH_FINANCING
ADANIPORTS,2020,GROWTH_FINANCING,REINVESTOR
ADANIPORTS,2021,REINVESTOR,GROWTH_FINANCING
ADANIPORTS,2022,GROWTH_FINANCING,REINVESTOR
ADANIPOWER,2015,GROWTH_FINANCING,REINVESTOR
ADANIPOWER,2022,REINVESTOR,SHAREHOLDER_RETURNS
AMBUJACEM,2023,REINVESTOR,GROWTH_FINANCING
APOLLOHOSP,2014,GROWTH_FINANCING,REINVESTOR
APOLLOHOSP,2015,REINVESTOR,GROWTH_FINANCING
APOLLOHOSP,2018,GROWTH_FINANCING,REINVESTOR
ATGL,2019,GROWTH_FINANCING,SHAREHOLDER_RETURNS
ATGL,2020,SHAREHOLDER_RETURNS,REINVESTOR
ATGL,2021,REINVESTOR,GROWTH_FINANCING
ATGL,2024,GROWTH_FINANCING,REINVESTOR
AXISBANK,2015,GROWTH_FINANCING,DISTRESS
AXISBANK,2016,DISTRESS,EXTERNAL_FUNDING
AXISBANK,2017,EXTERNAL_FUNDING,REINVESTOR
AXISBANK,2018,REINVESTOR,DISTRESS
AXISBANK,2019,DISTRESS,GROWTH_FINANCING
AXISBANK,2024,GROWTH_FINANCING,DISTRESS
BAJAJ-AUTO,2020,REINVESTOR,SHAREHOLDER_RETURNS
BAJAJ-AUTO,2021,SHAREHOLDER_RETURNS,REINVESTOR
BAJAJ-AUTO,2022,REINVESTOR,SHAREHOLDER_RETURNS
BAJAJ-AUTO,2024,SHAREHOLDER_RETURNS,REINVESTOR
BAJAJFINSV,2016,EXTERNAL_FUNDING,DISTRESS
BAJAJFINSV,2017,DISTRESS,EXTERNAL_FUNDING
BAJAJFINSV,2018,EXTERNAL_FUNDING,DISTRESS
BAJAJFINSV,2021,DISTRESS,GROWTH_FINANCING
BAJAJFINSV,2022,GROWTH_FINANCING,EXTERNAL_FUNDING
BAJAJFINSV,2023,EXTERNAL_FUNDING,DISTRESS
BAJAJHLDNG,2016,REINVESTOR,SHAREHOLDER_RETURNS
BAJAJHLDNG,2017,SHAREHOLDER_RETURNS,CASH_BURN
BAJAJHLDNG,2018,CASH_BURN,REINVESTOR
BAJFINANCE,2018,DISTRESS,EXTERNAL_FUNDING
BAJFINANCE,2019,EXTERNAL_FUNDING,DISTRESS
BAJFINANCE,2022,DISTRESS,EXTERNAL_FUNDING
BAJFINANCE,2023,EXTERNAL_FUNDING,DISTRESS
BANKBARODA,2014,REINVESTOR,GROWTH_FINANCING
BANKBARODA,2015,GROWTH_FINANCING,REINVESTOR
BANKBARODA,2016,REINVESTOR,CASH_BURN
BANKBARODA,2017,CASH_BURN,REINVESTOR
BANKBARODA,2018,REINVESTOR,DISTRESS
BANKBARODA,2020,DISTRESS,GROWTH_FINANCING
BANKBARODA,2021,GROWTH_FINANCING,CASH_BURN
BANKBARODA,2022,CASH_BURN,REINVESTOR
BANKBARODA,2023,REINVESTOR,CASH_BURN
BANKBARODA,2024,CASH_BURN,DISTRESS
BEL,2015,ASSET_LIQUIDATION,REINVESTOR
BEL,2017,REINVESTOR,ASSET_LIQUIDATION
BEL,2018,ASSET_LIQUIDATION,CASH_BURN
BEL,2019,CASH_BURN,REINVESTOR
BEL,2023,REINVESTOR,SHAREHOLDER_RETURNS
BEL,2024,SHAREHOLDER_RETURNS,REINVESTOR
BHARTIARTL,2014,REINVESTOR,GROWTH_FINANCING
BHARTIARTL,2015,GROWTH_FINANCING,REINVESTOR
BHARTIARTL,2018,REINVESTOR,GROWTH_FINANCING
BHARTIARTL,2021,GROWTH_FINANCING,REINVESTOR
BHEL,2015,GROWTH_FINANCING,SHAREHOLDER_RETURNS
BHEL,2017,SHAREHOLDER_RETURNS,REINVESTOR
BHEL,2018,REINVESTOR,SHAREHOLDER_RETURNS
BHEL,2019,SHAREHOLDER_RETURNS,ASSET_LIQUIDATION
BHEL,2020,ASSET_LIQUIDATION,EXTERNAL_FUNDING
BHEL,2021,EXTERNAL_FUNDING,REINVESTOR
BHEL,2023,REINVESTOR,EXTERNAL_FUNDING
BOSCHLTD,2017,REINVESTOR,SHAREHOLDER_RETURNS
BOSCHLTD,2018,SHAREHOLDER_RETURNS,REINVESTOR
BOSCHLTD,2019,REINVESTOR,SHAREHOLDER_RETURNS
BOSCHLTD,2020,SHAREHOLDER_RETURNS,REINVESTOR
BOSCHLTD,2023,REINVESTOR,SHAREHOLDER_RETURNS
BPCL,2017,REINVESTOR,GROWTH_FINANCING
BPCL,2018,GROWTH_FINANCING,REINVESTOR
BPCL,2019,REINVESTOR,GROWTH_FINANCING
BPCL,2021,GROWTH_FINANCING,REINVESTOR
BRITANNIA,2014,SHAREHOLDER_RETURNS,REINVESTOR
BRITANNIA,2020,REINVESTOR,GROWTH_FINANCING
BRITANNIA,2021,GROWTH_FINANCING,SHAREHOLDER_RETURNS
BRITANNIA,2023,SHAREHOLDER_RETURNS,REINVESTOR
BRITANNIA,2024,REINVESTOR,SHAREHOLDER_RETURNS
CANBK,2017,REINVESTOR,GROWTH_FINANCING
CANBK,2018,GROWTH_FINANCING,DISTRESS
CANBK,2019,DISTRESS,REINVESTOR
CANBK,2020,REINVESTOR,DISTRESS
CANBK,2021,DISTRESS,GROWTH_FINANCING
CANBK,2023,GROWTH_FINANCING,DISTRESS
CANBK,2024,DISTRESS,REINVESTOR
CHOLAFIN,2014,EXTERNAL_FUNDING,DISTRESS
CHOLAFIN,2022,DISTRESS,EXTERNAL_FUNDING
CHOLAFIN,2023,EXTERNAL_FUNDING,DISTRESS
CIPLA,2014,GROWTH_FINANCING,REINVESTOR
CIPLA,2015,REINVESTOR,GROWTH_FINANCING
CIPLA,2017,GROWTH_FINANCING,REINVESTOR
CIPLA,2020,REINVESTOR,SHAREHOLDER_RETURNS
CIPLA,2021,SHAREHOLDER_RETURNS,REINVESTOR
COALINDIA,2014,REINVESTOR,SHAREHOLDER_RETURNS
COALINDIA,2018,SHAREHOLDER_RETURNS,REINVESTOR
COALINDIA,2020,REINVESTOR,SHAREHOLDER_RETURNS
COALINDIA,2022,SHAREHOLDER_RETURNS,REINVESTOR
DABUR,2019,REINVESTOR,SHAREHOLDER_RETURNS
DABUR,2020,SHAREHOLDER_RETURNS,REINVESTOR
DIVISLAB,2017,REINVESTOR,GROWTH_FINANCING
DIVISLAB,2018,GROWTH_FINANCING,REINVESTOR
DIVISLAB,2021,REINVESTOR,SHAREHOLDER_RETURNS
DIVISLAB,2022,SHAREHOLDER_RETURNS,REINVESTOR
DLF,2016,SHAREHOLDER_RETURNS,REINVESTOR
DLF,2017,REINVESTOR,EXTERNAL_FUNDING
DLF,2018,EXTERNAL_FUNDING,REINVESTOR
DLF,2019,REINVESTOR,CASH_ACCUMULATION
DLF,2020,CASH_ACCUMULATION,SHAREHOLDER_RETURNS
DLF,2023,SHAREHOLDER_RETURNS,REINVESTOR
DLF,2024,REINVESTOR,GROWTH_FINANCING
DMART,2018,GROWTH_FINANCING,SHAREHOLDER_RETURNS
DMART,2019,SHAREHOLDER_RETURNS,GROWTH_FINANCING
DMART,2021,GROWTH_FINANCING,REINVESTOR
EICHERMOT,2017,REINVESTOR,GROWTH_FINANCING
EICHERMOT,2018,GROWTH_FINANCING,REINVESTOR
GAIL,2014,GROWTH_FINANCING,REINVESTOR
GAIL,2020,REINVESTOR,GROWTH_FINANCING
GAIL,2021,GROWTH_FINANCING,REINVESTOR
GAIL,2023,REINVESTOR,GROWTH_FINANCING
GAIL,2024,GROWTH_FINANCING,REINVESTOR
GODREJCP,2014,GROWTH_FINANCING,REINVESTOR
GODREJCP,2017,REINVESTOR,GROWTH_FINANCING
GODREJCP,2018,GROWTH_FINANCING,REINVESTOR
GODREJCP,2019,REINVESTOR,SHAREHOLDER_RETURNS
GODREJCP,2020,SHAREHOLDER_RETURNS,REINVESTOR
GODREJCP,2024,REINVESTOR,GROWTH_FINANCING
GRASIM,2014,GROWTH_FINANCING,REINVESTOR
GRASIM,2018,REINVESTOR,EXTERNAL_FUNDING
GRASIM,2019,EXTERNAL_FUNDING,DISTRESS
GRASIM,2020,DISTRESS,REINVESTOR
GRASIM,2023,REINVESTOR,DISTRESS
HAL,2019,ASSET_LIQUIDATION,EXTERNAL_FUNDING
HAL,2020,EXTERNAL_FUNDING,GROWTH_FINANCING
HAL,2021,GROWTH_FINANCING,REINVESTOR
HAVELLS,2019,REINVESTOR,SHAREHOLDER_RETURNS
HAVELLS,2020,SHAREHOLDER_RETURNS,REINVESTOR
HAVELLS,2021,REINVESTOR,GROWTH_FINANCING
HAVELLS,2022,GROWTH_FINANCING,REINVESTOR
HAVELLS,2023,REINVESTOR,SHAREHOLDER_RETURNS
